NA	NA
NA	NA
1	47.70
2	72.48
2	57.48
2	44.47
2	38.66
1	46.24
2	57.52
2	43.92
2	35.39
1	54.63
2	35.49
2	39.95
NA	NA
NA	NA
2	72.62
2	57.15
1	54.49
2	60.72
1	63.01
2	78.22
2	103.57
2	67.38
2	54.79
2	54.44
1	70.06
NA	NA
NA	NA
1	75.02
2	74.04
2	51.01
2	50.70
1	76.86
2	77.59
2	66.70
2	48.47
1	75.20
1	68.60
1	65.73
2	62.63
1	95.22
1	72.85
2	39.00
